ubigeoCode,departament,province,district,populationCenter,description,length,latitude,altitude,population,livingPlace,timeMinutesToDistrictCapital,language,createdAt,updatedAt
,,,,UNION VALLE DE SANGARENI,,,,,,,,,2023-06-05T18:12:28.414,2023-06-05T18:12:28.414
,,,,PARIAGARO,,,,,,,,,2023-06-06T18:12:28.414,2023-06-06T18:12:28.414
,,,,ASHANINKA DE CELENDIN,,,,,,,,,2023-06-07T18:12:28.414,2023-06-07T18:12:28.414
,,,,NUEVA ESPERANZA,,,,,,,,,2023-06-08T18:12:28.414,2023-06-08T18:12:28.414
,,,,UNION PIOTA,,,,,,,,,2023-06-09T18:12:28.414,2023-06-09T18:12:28.414
,,,,SECTOR SAN JUAN DE TINCAVENE,,,,,,,,,2023-06-10T18:12:28.414,2023-06-10T18:12:28.414
,,,,LA JOYA,,,,,,,,,2023-06-11T18:12:28.414,2023-06-11T18:12:28.414
,,,,SANTA FE DE YAVIYORA,,,,,,,,,2023-06-12T18:12:28.414,2023-06-12T18:12:28.414
,,,,PUERTO VILLA,,,,,,,,,2023-06-13T18:12:28.414,2023-06-13T18:12:28.414
,,,,NUEVO BERLIN,,,,,,,,,2023-06-14T18:12:28.414,2023-06-14T18:12:28.414
,,,,VALLE AZUL,,,,,,,,,2023-06-15T18:12:28.414,2023-06-15T18:12:28.414
,,,,MARANKIARI,,,,,,,,,2023-06-16T18:12:28.414,2023-06-16T18:12:28.414
,,,,NUEVA LIBERTAD DE SANGARENI,,,,,,,,,2023-06-17T18:12:28.414,2023-06-17T18:12:28.414
,,,,ALTO CAMONAL,,,,,,,,,2023-06-18T18:12:28.414,2023-06-18T18:12:28.414
,,,,NUEVO AMANECER,,,,,,,,,2023-06-19T18:12:28.414,2023-06-19T18:12:28.414
,,,,SANTA MARIA DE CHIQUIRIARI,,,,,,,,,2023-06-20T18:12:28.414,2023-06-20T18:12:28.414
,,,,PACHIRI,,,,,,,,,2023-06-21T18:12:28.414,2023-06-21T18:12:28.414
